"loc","pop","locs_per_indiv","age","age_1st_inj","HIV_active","HIV_aware","HIV_suppressed","inj_freq","shared_inj","syringe_share","MOUD","SSP","test_ever","test_1m","ART","ART_adhere"
"spat_slm2___32",78,5.01282051282051,30.025641025641,23.9230769230769,0.384615384615385,0.366666666666667,0.181818181818182,45.2820512820513,0.551663635217659,0.88258265263913,0.140954415954416,0.0973646723646724,0.564102564102564,0.0454545454545455,0.181818181818182,0.5
"spat_nkp___109",51,5.52941176470588,31.4117647058824,23.1176470588235,0.490196078431373,0.32,0.25,51.1176470588235,0.559088942918008,0.900600044450375,0.244117647058824,0.0675381263616558,0.411764705882353,0.0952380952380952,0.25,0.5
"spat_slm3___146",66,5.03030303030303,31.1969696969697,22.0454545454545,0.333333333333333,0.181818181818182,0,43.7878787878788,0.576886610240212,0.875823286220679,0.217592592592593,0.0515151515151515,0.424242424242424,0.0714285714285714,0.25,1
"spat_ksn1___60",68,5.35294117647059,31.0735294117647,21.9852941176471,0.382352941176471,0.269230769230769,0.285714285714286,45.5294117647059,0.539270970317259,0.842480710908686,0.14983660130719,0.100326797385621,0.352941176470588,0.125,0.285714285714286,1
"spat_dk2___67",61,5,29.672131147541,22.0655737704918,0.40983606557377,0.28,0.142857142857143,49.4426229508197,0.589174120495903,0.862364130242768,0.231147540983607,0.0765938069216758,0.39344262295082,0,0.428571428571429,1
"spat_jp5___78",45,5.11111111111111,32.3333333333333,19.7333333333333,0.355555555555556,0.25,0,39.7333333333333,0.668985444830405,0.941334455667789,0.170246913580247,0.0319753086419753,0.488888888888889,0.0454545454545455,0.25,1
"spat_jp6___79",55,4.96363636363636,31,21.6181818181818,0.218181818181818,0.25,0.333333333333333,46.7272727272727,0.547142417910098,0.911376004903573,0.194343434343434,0.113535353535354,0.363636363636364,0.1,0.333333333333333,1
"spat_jp9___84",44,4.93181818181818,29.0909090909091,24.1590909090909,0.272727272727273,0.333333333333333,0.5,43.7727272727273,0.571440521899282,0.870593788540497,0.134343434343434,0.0353535353535354,0.454545454545455,0,0.75,1
"spat_slm2___34",39,5.02564102564103,29.1794871794872,21.1282051282051,0.333333333333333,0.384615384615385,0,48,0.561545351362755,0.897707929325576,0.111965811965812,0.102564102564103,0.461538461538462,0.111111111111111,0.2,1
"spat_ksn1___59",43,5.09302325581395,28.2558139534884,21.5116279069767,0.441860465116279,0.368421052631579,0.142857142857143,55.1395348837209,0.461165115849048,0.872921558640357,0.144832041343669,0.100516795865633,0.488372093023256,0.0476190476190476,0.571428571428571,0.75
"spat_ksn1___58",45,4.95555555555556,30.5777777777778,23.8444444444444,0.333333333333333,0.333333333333333,0.2,47.2888888888889,0.622835171836729,0.917474003271105,0.197901234567901,0.0662962962962963,0.511111111111111,0.0434782608695652,0.4,1
"spat_cp3___102",38,5.02631578947368,27.2631578947368,22.1578947368421,0.447368421052632,0.352941176470588,0.166666666666667,43,0.604350859950862,0.904125057922785,0.178654970760234,0.0846491228070175,0.473684210526316,0.0555555555555556,0.166666666666667,1
"spat_dk1___65",42,5.07142857142857,30.2857142857143,22.1666666666667,0.261904761904762,0.272727272727273,0,50.2142857142857,0.586427702101081,0.896538533670371,0.191269841269841,0.0514550264550265,0.404761904761905,0.0588235294117647,0,0
"spat_dk2___68",35,5.31428571428571,30.4857142857143,24.5428571428571,0.428571428571429,0.333333333333333,0.2,38.4285714285714,0.59845426072893,0.841414682905555,0.258888888888889,0.0476190476190476,0.628571428571429,0.0909090909090909,0.2,1
"spat_dhg2___4",37,5.02702702702703,29.4594594594595,21.0810810810811,0.216216216216216,0.25,0,45.972972972973,0.504479181217696,0.930217902631696,0.122522522522523,0.107957957957958,0.486486486486487,0.0555555555555556,0,0
